sid,marker,time,X,Y,Z
2,RHip,0,909.771811828613,881.181272888184,448.475001068115
2,LHip,0,562.001354675293,872.186160583496,465.40281539917
2,MedAnkle,0,838.86591796875,82.9845211410522,501.546706390381
2,LatAnkle,0,915.903570861816,81.0214590072632,513.327817382813
2,LatKnee,0,902.51847442627,468.253981018066,473.083259429932
2,MedKnee,0,790.57342376709,435.660693664551,488.600741729736
2,Toe,0,885.671101074219,42.4646969413757,315.545883789062
2,Thigh1,0,900.915571289063,649.741457519531,514.695034179687
2,Thigh2,0,906.659995727539,686.026425476074,510.353642578125
2,Thigh3,0,903.240652160645,599.37821105957,507.092454833984
2,Thigh4,0,874.951920471191,642.178123474121,535.962103881836
2,Shank1,0,904.61486114502,367.763100585937,564.48531463623
2,Shank2,0,922.040592651367,332.654019165039,552.22037109375
2,Shank3,0,891.914032897949,278.087138519287,572.017268676758
2,Shank4,0,935.729281616211,284.617585296631,541.310993347168
2,Foot1,0,880.732287597656,74.5121815490723,576.12706451416
2,Foot2,0,882.027574462891,27.8218978214264,583.327288818359
2,Foot3,0,925.960869445801,36.5109667205811,540.224243164062
2,Foot4,0,896.24024017334,46.2816818809509,566.559533996582
